id,stable_height
663458,5
663670,5
663729,3
663885,3
664020,1
664058,1
664173,4
664178,6
664356,5
664393,3
664415,2
664465,5
664510,1
664630,1
664723,2
664768,2
664784,3
664872,3
664875,6
665081,2
665084,6
665119,5
665233,3
665309,3
665312,3
665443,1
665453,2
665503,4
665558,1
665691,4
666053,3
666354,2
666431,1
666447,4
666658,3
666668,1
666995,3
667102,5
667158,3
667349,1
667353,3
667510,6
667657,2
667759,4
667815,3
667915,1
667964,3
668168,1
668291,1
668298,3
668332,1
668335,5
668535,1
668874,1
668879,1
669303,4
669412,3
669603,4
669628,1
669837,3
669855,3
669989,4
670092,6
670290,3
670292,1
670310,2
670622,1
670820,4
671184,2
671211,1
671242,6
671361,1
671459,4
671880,4
671925,2
672025,4
672078,5
672242,5
672395,4
672664,1
672723,3
673331,2
673394,1
673537,6
673606,1
673720,1
673881,5
674134,1
674193,1
674210,1
674292,2
674328,2
674380,2
674398,1
674870,1
675049,4
675128,1
675135,5
675365,4
675425,4
675664,1
675800,3
675807,2
675810,4
675862,1
675923,3
675924,2
676025,1
676034,2
676058,6
676229,1
676231,3
676315,6
676333,2
676887,2
677267,4
677583,1
677711,2
677959,5
678235,1
678360,5
678452,2
678691,6
678749,1
678817,3
678943,1
678996,4
679147,4
679275,3
679562,3
679609,1
679670,3
679933,3
680057,2
680137,1
680226,4
680340,1
680503,4
680513,1
680538,2
680621,5
680795,4
681465,6
681527,4
681553,2
681637,5
681836,5
681849,3
682160,4
682191,1
682477,1
682577,1
682621,3
682821,5
682824,4
682907,2
682930,2
683000,3
683081,1
683111,4
683155,6
683169,3
683175,6
683320,1
683490,3
683707,4
683870,4
683922,1
683957,3
684069,6
684070,2
684232,2
684283,2
684329,1
684395,4
684487,5
684651,1
684810,4
684841,4
685336,4
685794,6
685829,5
685930,2
685970,3
686837,3
686845,2
686898,1
686946,2
687054,1
687178,2
687392,5
687402,1
687501,1
687576,3
687835,2
687952,5
688044,5
688392,3
688434,3
688518,1
688578,1
688925,2
688995,1
689007,1
689051,3
689063,3
689325,2
689484,1
689721,1
689883,5
689894,4
690030,2
690419,4
690443,3
690482,1
690514,1
690578,5
690859,6
690982,1
691243,1
691386,3
691400,1
691468,1
691540,3
691545,2
691748,2
692039,3
692079,4
692146,3
692455,3
692754,5
692776,1
692834,2
693446,1
693598,4
693901,3
694570,3
694760,4
694762,4
694766,3
694772,1
694778,4
694801,2
694911,6
694978,2
695240,3
695434,1
695435,3
695742,3
695807,1
696057,2
696176,1
696202,3
696477,2
696486,4
696630,1
696734,3
696787,3
696919,4
697076,4
697446,2
697744,3
697788,3
698007,3
698009,4
698127,2
698148,3
698225,1
698243,4
698250,3
698375,2
698943,1
699081,3
699167,3
699397,2
699401,4
699433,2
699564,1
699613,1
699672,6
699734,1
699966,1
700111,1
700181,3
700193,6
700950,2
701084,1
701095,3
701210,1
701233,2
701621,4
701738,2
701805,5
701864,5
702003,3
702095,6
702213,4
702245,3
702254,1
702277,5
702409,3
702420,2
702469,1
703059,2
703081,1
703124,3
703276,4
703371,1
703553,2
704024,4
704103,2
704110,1
704137,4
704159,1
704180,4
704423,1
704614,3
704781,2
704812,1
704829,3
704860,4
704870,3
704920,2
705077,5
705106,1
705321,1
705396,5
705555,4
